,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_jamescharles
1,youtube#playlistItem,0qCiPD4Xk6Lxak5-fUUW0RhDmpU,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLlhiZ2RlOUxDck9J,2023-09-15T19:46:08Z,UCucot-Zp428OwkyRm2I7v2Q,5 MIN vs. 30 MIN vs. 3 HOUR MAKEUP! ⏰🏁,"In today's video, I challenge myself to do makeup in 5 minutes, 30 minutes, and 3 HOURS! Watch to see if I'm able to get it done, and which look comes out the best!!  🎥 Previous Video » https://youtu.be/GYCtRBE-gjw 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,0,youtube#video,Xbgde9LCrOI,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-09-15,597520
4,youtube#playlistItem,nyyosJUVpscAYwLHeyxo2saQxCk,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkdZQ3RSQkUtZ2p3,2023-09-08T20:30:45Z,UCucot-Zp428OwkyRm2I7v2Q,FULL FACE OF EXPIRED MAKEUP! 🤢⚠️,"GLAM AT YOUR OWN RISK! Today's video is a challenge, FULL FACE of EXPIRED makeup products! Does an expiry date ruin the formula!? Will I break out?! Or will I still able to come up with a great final makeup look!? Watch to find out!  I🎥 Previous Video » https://youtu.be/iRRiOrE0Yk4?si=n-IxhTFO39UasbF6 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,3,youtube#video,GYCtRBE-gjw,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-09-08,919113
5,youtube#playlistItem,UpVPKeQlE3HFaTBWihxQDTMKub0,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmlSUmlPckUwWWs0,2023-09-01T19:00:17Z,UCucot-Zp428OwkyRm2I7v2Q,TINY HANDS MAKEUP CHALLENGE 🤏🏼,This might be the DUMBEST makeup challenge I have ever done. Using TINY HANDS to do my entire routine... I hope you enjoy. Because I certainly did not.  🎥 Previous Video » https://youtu.be/VX2uRreCG5Y 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny,James Charles,UUucot-Zp428OwkyRm2I7v2Q,4,youtube#video,iRRiOrE0Yk4,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-09-01,609404
7,youtube#playlistItem,ut_J7qupxjH6HXk16fnRhXyLYtE,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLlZYMnVScmVDRzVZ,2023-08-25T19:06:03Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING A FULL FACE OF KOREAN MAKEUP! 🇰🇷,"In today's video, I try out a FULL FACE of KOREAN MAKEUP! This is the first episode in a new series of trying makeup from other cultures & countries around the world, let me know how I did and where I should visit next! 🌏🫶🏼  🎥 Previous Video » https://youtu.be/qAi6KXVtvSQ 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,6,youtube#video,VX2uRreCG5Y,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-08-25,999656
9,youtube#playlistItem,E7l4N8orq8yGsZfwsNhcZBC9ETw,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLnFBaTZLWFZ0dlNR,2023-08-18T19:00:54Z,UCucot-Zp428OwkyRm2I7v2Q,CAN YOU ACTUALLY PAINT WITH CREATE PAINT?,"Everyone's been asking, can you actually Paint with Create Paints?! In today's video, I put them to the test and gave my parents a very special gift at the end of the video! Enjoy and don't forget to thumbs up and subscribe!   🎥 Previous Video » https://youtu.be/cJiQwbr3_Fo 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,8,youtube#video,qAi6KXVtvSQ,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-08-18,609141
12,youtube#playlistItem,rngAgvkq38EvjFlUAN7iwnZ7x1c,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmNKaVF3YnIzX0Zv,2023-08-11T19:01:23Z,UCucot-Zp428OwkyRm2I7v2Q,FULL FACE OF MAKEUP USING ONLY PAINT!,"I said my Create Paints were multi-use, so everyone asked me to do a FULL FACE using them! 🤯🎨 Watch me put my own products to the test to see if they REALLY work in your makeup routine!  🎨  SHOP PAINTED » http://painted.co  🎥 Previous Video » https://youtu.be/HTIjydr5LKA 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,11,youtube#video,cJiQwbr3_Fo,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-08-11,758292
14,youtube#playlistItem,3nmUH-lHfxyEeM1RV8Pg4dbNPxI,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkhUSWp5ZHI1TEtB,2023-08-04T19:01:57Z,UCucot-Zp428OwkyRm2I7v2Q,WTF IS CREATE PAINT?,"In today's video, I show you 10 different ways to use Create Paints on 10 different people with 10 different colors!! Eyeliner, graphic liner, cut crease, cream shadow, eye art, blush, lipstick, & MORE!  LAUNCHING AUGUST 7th @ 12PM PST ON HTTP://PAINTED.CO  🎨 CREATE PAINTS - $15 a piece  ❤️ Left On Red 🧡 Flaming 💛 Caution 💚 SMS 💙 Blueprint 💜 Turning Violet 💗 Pinky Promise 🤎 Cold Brew 🤍 Ghosted 🖤 Ink  👨🏼‍🎨 ARTIST'S SET - $135 All 10 Create Paints, + Free Shipping + Free Sponge   🧽 OVERSIZED ARTIST'S SPONGE - $10  🖌️ DETAIL BRUSHES - $8 a piece, $40 set of 6 J1 - Concealer Brush J2 - Small Concealer J3 - Square Liner J4 - Angled Linger J5 - Medium Liner J6 - Short Liner  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,13,youtube#video,HTIjydr5LKA,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-08-04,597773
17,youtube#playlistItem,IPqSqNWnXh8pgF0ouXfOlT_Yws0,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLmN3UV9mYmZCcVJB,2023-07-28T19:09:26Z,UCucot-Zp428OwkyRm2I7v2Q,PAINTED... THE FULL REVEAL 🎨,"After 4 years, I am so excited to FINALLY tell you all about my new makeup brand, PAINTED. Watch as I swatch all 10 Create Paints, show you my new brush set, and Painted oversized sponge. All colors, prices, launch time, and more.  LAUNCHING AUGUST 7th @ 12PM PST ON HTTP://PAINTED.CO  🎨 CREATE PAINTS - $15 a piece  ❤️ Left On Red 🧡 Flaming 💛 Caution 💚 SMS 💙 Blueprint 💜 Turning Violet 💗 Pinky Promise 🤎 Cold Brew 🤍 Ghosted 🖤 Ink  👨🏼‍🎨 ARTIST'S SET - $135 All 10 Create Paints, + Free Shipping + Free Sponge   🧽 OVERSIZED ARTIST'S SPONGE - $10  🖌️ DETAIL BRUSHES - $8 a piece, $40 set of 6 J1 - Concealer Brush J2 - Small Concealer J3 - Square Liner J4 - Angled Linger J5 - Medium Liner J6 - Short Liner     🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,16,youtube#video,cwQ_fbfBqRA,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-07-28,1002761
19,youtube#playlistItem,ECXGos0iRe1w505ttJ4USZXHPD4,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkVUd1F4RHgzaGNZ,2023-07-14T19:02:18Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING A FULL FACE OF MAKEUP FROM FOREVER 21!,"In today's video, I spent $292 on a full face of makeup from FOREVER 21! Some products ended up being MASSIVE hits, but others... not so much! Enjoy!   🎥 Previous Video » https://youtu.be/LOrm_I7lvnU 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,18,youtube#video,ETwQxDx3hcY,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-07-14,1165750
21,youtube#playlistItem,YVnstwyvZlwejMsrKLaL1z1dAqU,VVV1Y290LVpwNDI4T3dreVJtMkk3djJRLkxPcm1fSTdsdm5V,2023-07-07T19:00:14Z,UCucot-Zp428OwkyRm2I7v2Q,TRYING THE WORST TIKTOK MAKEUP HACKS YET!,"In today's video, I tried out the worst tiktok makeup hacks yet. Lighting eyeliners on fire, mixing foundations with powder, swatch eyeshadow, and so many more... they're all a scam!! Enjoy!  🎥 Previous Video » https://youtu.be/HbRo5HdOAQE 🛎 Subscribe to my channel & hit the notification bell so you never miss an upload! » http://bit.ly/JamesCharles for new videos!  💞 Let's Be Sisters! Instagram » http://instagram.com/jamescharles Facebook » http://facebook.com/jamescharles TikTok » http://tiktok.com/@jamescharles Twitter » http://twitter.com/jamescharles  💌 Business Inquiries » business@spinandco.com  🔥 My Amazing Team Creative Director: Louis Gargiula http://instagram.com/louisgargiula Creative Assistant: Trevor Garcia http://instagram.com/igtrevor Editor: Ryan Allen http://instagram.com/helloxryan  Graphics: Michael Rusakov http://instagram.com/michael.ny",James Charles,UUucot-Zp428OwkyRm2I7v2Q,20,youtube#video,LOrm_I7lvnU,James Charles,UCucot-Zp428OwkyRm2I7v2Q,2023-07-07,1155507
