,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_jeffreestar
1,youtube#playlistItem,-f_VDcO1bkjtUxGP2z3I4hakmAA,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLlpia3RWUXlVZDg4,2023-09-24T17:00:19Z,UCkvK_5omS-42Ovgah8KRKtg,Gothic Beach 🖤 Palette & Collection Reveal! | Jeffree Star Cosmetics,"OH HIIIII EVERYONE... Welcome BACK to my channel! Long time no see. I missed everyone so much. It's been over 10 months since I've uploaded a video. Every time I release a big makeup or skincare collection, I get an overwhelming response to film LONG FORM videos like the old days.... I LISTENED! Here is the reveal and swatches of the ENTIRE Jeffree Star Cosmetics, Gothic Beach Collection!!! New formulas, new textures... and a NEW 18 pan artistry trunk!  The ENTIRE Gothic Beach Collection LAUNCHES THIS FRIDAY, September 29, 2023 @ 10AM PST / 1PM EST   🖤 Gothic Beach Palette - $54 🦇 Gothic Diamonds Extreme Frost Trio - $62 🌞 Gothic Beach SPF - $30 ⚰️ Vampire Blur & Cool Face Stick - $24  👁️ Beach Proof Eye Markers - $22  🕷️ Gothic Beach Mascara - $25    🕸️ Fashion & Accessories: Gothic Fishnet Hoodie - $60 Gothic Fishnet Crop Hoodie - $50 Gothic Picnic Blanket - $45 Parasol Umbrella - $32 Gothic Black Travel Bag - $30 Gothic Purple Travel Bag - $30  Black Diamond Hand Mirror - $30 Clear Tote Bag - $30  Summer Death Metal Tumbler - $28  Black Moth Towel - $20  🖤 Bundles:  *Ultimate Gothic Beach Bundle:*  $283 value // $241 · Gothic Beach Palette · Beach Proof Eyeliner (All 4 Shades) · Beach Proof Mascara · Gothic Diamonds - Extreme Frost Palette · Vampire Blur & Cool Face Stick · Facial SPF  Song: Sam Day - BE THE ONE [NCS Release] Music provided by NoCopyrightSounds Free Download/Stream: http://ncs.io Watch: http://ncs.lnk.toAT/youtube",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,0,youtube#video,ZbktVQyUd88,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2023-09-24,532432
2,youtube#playlistItem,uzcde5XvlYDKXFmKXjDkWTAXoyk,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLnd2LUJiU2Raa0xv,2022-11-06T18:00:08Z,UCkvK_5omS-42Ovgah8KRKtg,Psychedelic Circus 🍄 Palette & Collection Reveal! | Jeffree Star Cosmetics,"Welcome BACK to my channel... It's SCORPIO season!!!! And it's time to unleash the next major color collection from Jeffree Star Cosmetics! Introducing the Psychedelic Circus Collection!!! 💘 Before 2022 comes to a close, we wanted to leave this year with a BANG packed full of color and extra weirdness. We have a 21 pan artistry palette with bold and shockingly pretty shades, there's a new skin care item andddd we've extended our new Liquid Star Shadow formula! Saddle up and come dive into ALL the details.  🍄 EVERYTHING LAUNCHES ON NOV. 11TH @ 10AM PST / 1PM EST!!  🎪 Psychedelic Circus Palette - $60   💧 Liquid Star Eyeshadow (6 Shades) - $20 Diva Galaxy Another Realm Groovy Dreams Manifest Pink Tablet Star Vortex Third Eye Open   🍄 Magic Star Mushroom Mist – $28  🎡 Velour Liquid Lipsticks - $18 Bearded Lady Circus Peanut Clown Blood Healing Hour Lizard Jewel Mindbender Mushroom Ocean  🥶 Frozen Forest Lip Balm – $18  Bundles:  Psychedelic Circus Ultimate Bundle - $315 Includes: Palette, Liquid Star Shadows, Liquid Lipsticks, Mushroom Mist, and Lip Balm  Trippy Kit - $38 Includes: Mushroom Mist, Lip Balm  Third Eye Bundle - $120 Includes: All Liquid Star Shadows  Altered State Bundle - $106 Includes: All Velour Liquid Lipsticks  Fashion & Accessories: Psychedelic Travel Bag - $30  Trippy Star Hand Mirror - $25 Psychedelic Glow Hand Mirror - $30  Psychedelic Hand Mirror - $30  Psychedelic Circus Bucket & Trucker Hat's – $30 each Psychedelic Circus Neon Melt Hoodie - $60 Melt Hoodie - $45 Melt Long Sleeve – $40 Melt Joggers – $45 Trip Black Hoodie – $50 Trip Black Tee – $35 Trip Moss Hoodie - $55",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,1,youtube#video,wv-BbSdZkLo,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-11-06,2018430
4,youtube#playlistItem,nmOzxEwG9hqeuj7QBu2ARF8Jcow,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLjNqVlpnOFZXYWhF,2022-09-25T18:51:07Z,UCkvK_5omS-42Ovgah8KRKtg,Lady Gaga's NEW Foundation... Is It Jeffree Star Approved?!,"It's time for another iconic and brutal Jeffree Star Approved review! Today I'm testing out the highly anticipated Lady Gaga's new foundation from her beauty brand HAUS LABS!!!! There is finally some excitement in the makeup world when it comes to face products, and I could'n't be more excited. BUT... Does the formula hold up to the hype? Watch and find out...  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 I FINALLY SOLD MY LA MANSION... SAYING GOODBYE TO LA ► https://bit.ly/3C6TW1U  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  Track: Paul Flint - E Welem Bah [NCS Release] Music provided by NoCopyrightSounds. Watch: https://youtu.be/EvOE1rQvnAQ Free Download / Stream: https://ncs.io/EWelemBah",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,3,youtube#video,3jVZg8VWahE,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-09-25,1723913
6,youtube#playlistItem,3PK4trpu1RAXzxG7LVeZGsh5rcw,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLlRjbi1aX2d2cVQ0,2022-08-21T16:53:21Z,UCkvK_5omS-42Ovgah8KRKtg,Star Wedding 💍 Palette & Collection Reveal! | Jeffree Star Cosmetics,"Today it's time to unleash the next era... The STAR WEDDING Collection by Jeffree Star Cosmetics! We have done endless creative palette color stories since our brand started, so it's time to come full circle and finally GET MARRIED... the Jeffree Star way! Introducing my new 25 pan palette, new skin secure formula AND finally... liquid eyeshadows!!! Come along for the makeup journey and explore swatches and the entire Star Wedding Collection!  🤍 EVERYTHING LAUNCHES ON AUG. 26TH @ 10AM PST / 1PM EST  💍 Star Wedding Palette - $62   🍊 Vitamin C Skin Perfecting Serum - $52   💧 Liquid Star Eyeshadow (6 Shades) - $20 -      Nude Honeymoon (matte) -      Toss My Bouquet (matte) -      Star Wedding (matte) -      Behind The Veil (Glitter) -      Bachelorette Party (Glitter) -      Favorite Frosting (Glitter)   💦 Wedding Proof Makeup Setting Spray - $26 ⭐️ Star Wedding Blotting Paper - $10   💄 Velour Liquid Lipstick - $18 -      Finally -      Pomeranian Kiss -      Holy Matrimony -      Tax Break -      Down The Aisle -      Feeling So Innocent  🤍 Fashion & Accessories: Satin Star Wedding Robe –  $50 Diamond Hand Mirror - $30 Star Wedding LED Makeup Mirror - $98 Star Wedding Phone Selfie Light - $22 Lace Tumbler - $28 Hair Towel Wrap - $20  ✨ Bundles: Ultimate Star Wedding Bundle – $299 -      Includes: Star Wedding Palette, Vitamin C Skin Perfecting Serum, all 6 Liquid Star Eyeshadows, Wedding Proof Makeup Setting Spray, Star Wedding Blotting Paper, and all 6 new Velour Liquid Lipstick Shades.   Wedding Essentials Bundle – $164 -      Includes: Star Wedding Palette, Wedding Proof Makeup Setting Spray, and all 6 new Velour Liquid Lipstick shades   Keep it Together Bundle – $75 -      Includes: Blotting Paper, Vitamin C Skin Perfecting Serum, and Wedding Proof Makeup Setting Spray.   Star Wedding Velour Liquid Lipstick Bundle – $90 -      Includes one of each new shade   Star Wedding Liquid Eyeshadow Bundle – $99 -      Includes one of each new shade  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  Near x Far - Not Enough Music provided by NoCopyrightSounds LISTEN: https://www.youtube.com/watch?v=Phei4a-uCiQ",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,5,youtube#video,Tcn-Z_gvqT4,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-08-21,1756692
7,youtube#playlistItem,-dTbD0i8sFDtO7jmzEiZlWUifwY,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLkV5cXdNdnAwOVVF,2022-08-07T17:00:32Z,UCkvK_5omS-42Ovgah8KRKtg,I FINALLY Sold My Mansion... Moving Out of California FOREVER.,"Welcome BACK to my channel... Hi, how are ya?? Today we are officially saying GOODBYE to my mega mansion in California and packing up for good! Come along for the journey.  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  Near x Far - Not Enough Music provided by NoCopyrightSounds LISTEN: https://www.youtube.com/watch?v=Phei4a-uCiQ",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,6,youtube#video,EyqwMvp09UE,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-08-07,1734539
8,youtube#playlistItem,Hpko4V_swkDut4hVhPWuoo6oQEk,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLk50WEFkSHFBaTlF,2022-07-17T17:00:07Z,UCkvK_5omS-42Ovgah8KRKtg,Lavender Lemonade 🍋 Collection Reveal! | Jeffree Star Skin,"Sumer is officially here and it's time for a new limited edition collection from Jeffree Star Skin!!! 💜 Come take a relaxing journey and explore the Lavender Lemonade Collection featuring new skin care formulas and revisiting a few iconic formulas with a twist. This collection is all about soothing and calming the skin, leaving it flawless and ready for bedtime.  🍋 EVERYTHING LAUNCHES JULY 22nd at 10AM PST / 1PM EST!!!!!  Tranquility Face Mask - $38 Lavender Lemonade Repair & Revive Lip Mask - $16 Lavender Lemonade Scented Candle - $25  Lavender Lemonade Sleep Mist - $26  Lavender Lemonade Bath Salts - $25  Lavender Lemonade Bath Bundle –  $75  - Bath Salts, Face Mask, and Candle   Lavender Lemonade Skincare Bundle - $88 - Face Mask, Mist, Lip Mask, and Bath Salts  Fashion & Accessories:  Lavender Travel Skincare Bag - $30  Lavender Lemonade Windbreaker - $45  Lavender Side Bag - $45   *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  PLEEG - Spirit - Music provided by NoCopyrightSounds Listen: https://www.youtube.com/watch?v=A6UdjfUAgWw",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,7,youtube#video,NtXAdHqAi9E,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-07-17,1157334
9,youtube#playlistItem,ptC5T8gEfoH8wyzdtmx8fSCa_uA,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLlFseGU1YTJtWEZj,2022-07-10T17:00:24Z,UCkvK_5omS-42Ovgah8KRKtg,I Haven't Left the House In TWO MONTHS...,"The journey I'm currently on of self repair, healing and mental peace is not a short one. A lot to update you all on... I haven't left Wyoming in 2 months and here is why.  Thank you for watching. Love you guys so much.  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,8,youtube#video,Qlxe5a2mXFc,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-07-10,1414679
10,youtube#playlistItem,tm0KL001tRVAA1j6J_-JSPR_C2o,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLmNiT3JUMkpPVDYw,2022-06-06T16:32:25Z,UCkvK_5omS-42Ovgah8KRKtg,The TRUTH About the Star Yak Ranch!,"Welcome to the Star Yak Ranch... Today we are going on a tour and finally revealing everything that involves my ranch! Come behind the gates and see what I do everyday out here in Casper, Wyoming! It's time to meet the STAR herd and see why I fell in love with these stunning majestic creatures!  STAR YAK MEAT is now available on www.staryaks.com!!! FOLLOW Star Yak Ranch on FACEBOOK: https://www.facebook.com/StarYakRanch/ FOLLOW Star Yak Ranch on IG: https://www.instagram.com/staryakranch/:   *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,9,youtube#video,cbOrT2JOT60,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-06-06,1600788
11,youtube#playlistItem,iRFtLTyW5fS3B_QLvJIU9EFplu8,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLkpieUdnaU5ZNHRZ,2022-05-22T17:00:15Z,UCkvK_5omS-42Ovgah8KRKtg,Trying Valentino & DESIGNER Makeup... Is It Jeffree Star Approved?!,"It's time for a BRAND NEW makeup review! Welcome BACK to my channel... I recently flew to Milano, Italy for a business trip and had to take a moment to find new makeup I've never tried before. During the last year, a lot of new brands have launched and I haven't seen them in person.. Valentino Beauty being one of them! Today we're reviewing and testing out designer makeup. Is it worth it or all trash?? Watch to see the FULL experience.  💜 SHOP the JEFFREE STAR SKIN CARE! ► https://jeffreestar.com/collections/shop-all  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  Track: Cajama - You Did Me Wrong [NCS Release] Music provided by NoCopyrightSounds Listen: https://www.youtube.com/watch?v=WroIBvPu5tw",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,10,youtube#video,JbyGgiNY4tY,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-05-22,1605579
12,youtube#playlistItem,JlDgz3liEw3Ar5rYM3N2NGQd_2E,VVVrdktfNW9tUy00Mk92Z2FoOEtSS3RnLjVYUF82RjZHMkQw,2022-05-01T17:00:06Z,UCkvK_5omS-42Ovgah8KRKtg,Banana Fetish 🍌 Palette & Collection Reveal! | Jeffree Star Cosmetics,"WELCOME BACK to my CHANNEL... Category is.. Jeffree Star Cosmetics YELLOW! We are FINALLY giving you a full on YELLOW experience, unveiling the Banana Fetish palettte.. new moisturizer and our very FIRST ever body scrub!!! All done the BANANA way. ✨ Watch the video for ALL the details and swatches!  💛 SHOP the Collection: https://jeffreestarcosmetics.com/collections/banana-fetish  🍌 Banana Fetish Artistry Palette - $52  F**k Proof Mascara - $23 -Periwinkle Sprinkle -Chocolate Fondue -Banana Fetish  Banana Fetish Lip Mask - $16  ✨ Banana Fetish Body Scrub - $34  Banana Fetish Hydrating Moisturizer - $28  Banana Fetish Lip Scrubs - $12 -Banana Cream Pie -Banana Split -Banana Bundt Cake  Bundles: Banana Fetish Cosmetic Bundle - $130 Banana Fetish Skincare Bundle - $64  Fashion & Accessory Items: Banana Fetish Splatter Hoodie - $60 Banana Fetish Splatter Tee - $30 Banana Fetish Palette Tee - $30  Metal Tumblers - $28 -Banana Fetish -Blue Bulge -Pinky Rin  *SHOP: http://www.jeffreestarcosmetics.com  + FOLLOW MY BRAND ON Instagram: http://instagram.com/jeffreestarcosmetics  +FOLLOW ME ON IG: http://instagram.com/jeffreestar  +FOLLOW STAR YAK RANCH: https://www.staryaks.com + SNAPCHAT: jeffreestar  + TWITTER: @jeffreestar  WATCH MORE VIDEOS...................❤️  💉 WE GOT IN A HORRIBLE CAR ACCIDENT... ► https://bit.ly/3sggAyH  💄 FINDING OUR MAKEUP AT A CLEARANCE STORE ▷ https://bit.ly/3bDmulT  💜 ADDRESSING MY MENTAL HELP and SELLING MY HOUSE! ▷ https://bit.ly/3GCkJmU  🔮 WATCH FULL FACE OF BRANDS THAT HATE ME  ► https://bit.ly/2O6GgJi  Andromedik & Used - Take Me - Music provided by NoCopyrightSounds Listen: https://www.youtube.com/watch?v=EIWyuA1eFd4",jeffreestar,UUkvK_5omS-42Ovgah8KRKtg,11,youtube#video,5XP_6F6G2D0,jeffreestar,UCkvK_5omS-42Ovgah8KRKtg,2022-05-01,1418567
