,kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.resourceId.kind,snippet.resourceId.videoId,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,publish_date,viewcount_tatiwestbrook
1,youtube#playlistItem,0GqxrB4U4YH06uwo7rp0d7jsXUQ,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLklCUGFnRkUyMEVn,2023-09-14T16:55:14Z,UC4qk9TtGhBKCkoWz5qGJcGg,LUXURY MAKEUP and FASHION ... Worth it!,"(Promo Code in Description Below) Today I'm sharing fashion faves, hero products and the new Patrick Ta Major Dimension III Matte Eyeshadow Palette.  Thanks so much for watching 💕 xo's Tati   *▸ WHAT I’M WEARING* Enjoy 20% off LILYSILK Everything Promo Code: Tati20 (expires 7 days) Cashmere Polo Shirt https://me.lilysilk.com/3Lmpl4X The Amalfi Stripe Silk Shirt https://me.lilysilk.com/3PeigFJ Baby Cashmere Sweater https://me.lilysilk.com/3syISbO Tailored Silk Shirt in Olive https://me.lilysilk.com/3Lmpjdl The Flos Pants in White https://me.lilysilk.com/3YSBy6F  *▸ MAKEUP MENTIONED*  SISLEY Double Tenseur  Chanel Sublimage Le Teint  Westman Atelier Super Loaded Tinted Cream Highlighter Guerlain Meteorites Light Revealing Pearls of Powder // 03 Medium Patrick Ta Major Dimension III Matte Eyeshadow Palette    *▸ VIDEOS MENTIONED:* $200 MAKEUP PRIMER ... WTF??? https://youtu.be/Q4sbBkIBxC0?si=kG1mC8sCbDIJeIEt   $135 DOLLAR FOUNDATION ... WTF | First Impressions https://youtu.be/lbB2lGaUISk?si=UWdQmAmi9sF755Ht    *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Sponsored by Lilysilk and there are affiliate links.   All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,0,youtube#video,IBPagFE20Eg,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-09-14,155217
2,youtube#playlistItem,CGdVbb02eurFCYFsU85dhRCkb8s,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLjFKZ0c3T0poLWhN,2023-09-11T16:55:21Z,UC4qk9TtGhBKCkoWz5qGJcGg,Indie Makeup Brands You Need to Buy!,"Check out Taylor’s NEW song ""OTHERSIDE"" on Spotify!  https://open.spotify.com/track/5nqT3aUVJMXl5Ym04aXcmD?si=WpLWJPB_SVyra6Zd1F_KUQ  💕 xo's Tati   😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com  *▸ VIDEO MENTIONED:* Follow Taylor on IG @bow.roses   *▸ WHAT'S ON MY NAILS?*  _Nails:_  What's Up Beauty // Downpour  *▸ WHAT I’M WEARING*  Handbags IG @nadenaf.store https://www.etsy.com/shop/Nadenaf  *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  Jazmine Beauty Makeup Melting Cleansing Balm $34 Fawn Beauty Recovery & Glow Lip Oil $14 Glaminatrix Cosmetics Sugar & Spice Palette $54.56 Whats Up Beauty Desert Monsoon Eyeshadow Palette $41 Whats Up Beauty Whats Up Nails Downpour Nail Polish $12.75 Whats Up Beauty Whats Up Nails Polar Light Show Nail Polish (Magnetic) $12.75 Mooncat Pandemonium Nail Polish $14 Oden’s Eye Jewels & Gem Palette $39.50 Oden’s Eye Stone & Rock Palette $39.50 The Organic Skin Co. Primp N' Prime Tinted Primer / Sunkissed, Rose Gold $24.99   *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,1,youtube#video,1JgG7OJh-hM,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-09-11,185345
3,youtube#playlistItem,P0UccTEW5o81WApQHs7rTwU3HtM,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLmhwWktPMlMydWVN,2023-09-07T16:58:17Z,UC4qk9TtGhBKCkoWz5qGJcGg,WORTH THE HYPE ... Testing Influencer Favorites!,"Click ""more” to Expand links in Description.  💕 xo's Tati   *▸ PRODUCTS MENTIONED:*  Puradee 10PCS Velcro Hair Clips $9.99 https://amzn.to/3PteW9T Unite Hair Texturiza Spray $35 https://amzn.to/482I4vU Conair Dry Shampoo Porcupine Brush $7.82 https://amzn.to/3ZaiRvF Vercord Premium Nylon Purse Organizer $15.99 https://amzn.to/3Z5uwM8 Got2B Schwarzkopf Glued for Brows & Edges 2 in 1 Wand Gel $9.97 https://amzn.to/3Z4CHs5 Teivio Reusable Glass Straws + Cleaning Brush + Pouch $8.49 https://amzn.to/3Pb2fPy Gashina Story Faux Leather Tissue Box Cover $9.99 https://amzn.to/44HCKuY Fimary Store Silicone Makeup Sponge Holder $6.29 https://amzn.to/44IEmVr FROG SAC Spa Headband Terrycloth Wristbands $11.95 https://amzn.to/3Z81WK0 Bed Head by TIGI Hair Wax Stick $15.27 https://amzn.to/3r2hHpa REORIA Women’s Sexy Sleeveless Racer Back Bodysuit $26.99 https://amzn.to/3ErYfVY Pimoys 6 Pieces Powder Puff $5.99 https://amzn.to/3sGNsEJ LRICXFANG 15 Pcs Triangle Powder Puff $4.99 https://amzn.to/3RcdcmF Zonon 8 Pieces Lighted Tip Pen $9.99 https://amzn.to/3ZbDK9M FABLOOX Makeup Puff, 3 Pcs $15.99 https://amzn.to/45IbIov Nose contour brush $15.99 https://amzn.to/481UW5n PUMIEY Women’s V Neck Bodysuit $25.99 https://amzn.to/45Dw8Py Vaguelly Clear Vase for Flowers $22.17 https://amzn.to/47ZGxqB  *▸ INFLUENCERS MENTIONED:* www.youtube.com/@vasseurbeauty  www.youtube.com/@taylorwynn  www.youtube.com/@KellyStrack  www.youtube.com/@laura88lee  www.youtube.com/@RachhLoves   *▸ WHAT I""M WEARING* _Top:_  GAP  *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are some affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,2,youtube#video,hpZKO2S2ueM,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-09-07,205729
4,youtube#playlistItem,t2afoTsA_mQM1KO1MzFmbZy8T9Y,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLm1Dc0FvOVlHSmh3,2023-09-04T16:58:03Z,UC4qk9TtGhBKCkoWz5qGJcGg,MEGA SEPHORA HAUL ...,"I have a literal ton of new makeup from Sephora to review!  I hope you enjoy  💕 xo's Tati   😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com  *▸ VIDEO MENTIONED:* World's Most OVERHYPED Foundation? https://www.youtube.com/watch?v=XJxCNRTal9E  Hot NEW MAKEUP LAUNCHES Tested ... https://www.youtube.com/watch?v=Lc1tdcMQIs4   *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  Haus Labs Bio-Radiant Gel-Powder Highlighter $40 // Peach Quartz Westman Atelier Eye Pods Cream Eyeshadows $88 GXVE Feelin' Cheeky Clean Amplifying Talc-Free Blush Duo $28 // Flirty Talk, Honeymoon Phase, Stars Aligned, Lasting Love Tarte the triple-B™ brush $30 Rare Beauty Positive Light Silky Touch Highlighter $25 // Mesmerize, Exhilarate Huda Beauty Easy Bake Loose Baking & Setting Powder $38 // Cherry Blossom Beautyblender BEAUTYBLENDER® PLAY  Color Changing Makeup Sponge $22 Nudestix Blot & Blur Matte Stick $34 Bobbi Brown Vitamin Enriched Pressed Finishing Powder $48 // Yellow, Peach, Golden Brown ONE/SIZE Fantasize Lifting & Lengthening Mascara $25 GXVE Anaheim Line Clean Waterproof Lip Liner $20 GXVE Double Dippin' 2-in-1 Lip Color Remover & Hydrating Lip Mask $24 GXVE Spark The Fire Plumping Lip Balm $22 // O-M-G - sheer berry, L-O-L - sheer coral, L-U-V - sheer soft pink LYS No Limits Cream Bronzer and Contour Stick $20 Freck Beauty FACE HACK Precision Sculpting Cream Contour Bronzer Stick $18 // Fair, Medium  *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,3,youtube#video,mCsAo9YGJhw,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-09-04,238777
5,youtube#playlistItem,sJG8ZG5GBtti_RMQCowdoNNq8WA,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLlJGSUJkNnNSRnBj,2023-08-31T16:58:53Z,UC4qk9TtGhBKCkoWz5qGJcGg,Body Transformation … What’s working for me 💪🏼,"Use Promo code TATI40 for 40% off!  All details below in the description.  💕 xo's Tati   Medicube Promo Details: 40% Off CODE: TATI40 (Good Until 9/7) https://medicube.us/collections/age-r - All AGE-R Devices, including AGE-R Bodyshot + inclusive Sets  - Age R Bodyshot Purchase will include a free VitaK Cream - Skincare: All Zero, collagen, deep line (set/single product) 40% OFF FTC DISCLAIMER:  This video is Sponsored by Medicube and there are no affiliate links.   😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com   *▸ FITNESS CREATORS MENTIONED:* Caroline Girvan: https://www.youtube.com/@CarolineGirvan Eleni Fit: https://www.youtube.com/@EleniFit MadFit: https://www.youtube.com/@MadFit   *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  Medicube Age-R Contour Body Shot  Medicube Age-R Vita K Cream Masa Traditional Tortilla Chips Boulder Canyon Avocado Oil Classic Sea Salt Chips Honey Mama’s Salted Almond Cocoa Truffle Bar Freak Flag Organics Chicken Tortilla Bone Broth Alo Muse Sweatpant & Hoodie Set  Alo Triumph Hoodie  Alo Alosoft Low Rise Foldover Bootcut Leggings  Alo Scoop Neck Sweatshirt Bra  Alo Emulate Bra  Alo Wild Thing Bra / Macadamia  Lululemon Energy Bra / Atomic Purple  Lululemon SmoothCover Yoga Bra / White  Lululemon Align™ High-Rise Pant 28” / Sonic Pink  Lululemon Align™ High-Rise Pant 28” / Black  Blogilates Vegan Suede Yoga Mat Mystical Moment    *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107     All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,4,youtube#video,RFIBd6sRFpc,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-31,226494
6,youtube#playlistItem,pb_LnRfcvf-GCKTam24CL46TruM,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLkNSdk95cHVJT2tJ,2023-08-28T16:58:13Z,UC4qk9TtGhBKCkoWz5qGJcGg,Only Keeping Five ... My All Time Best Concealers!,"Massive Declutter ... narrowed down my all time favorite concealers, and I'm only keeping 5 Drugstore and 5 Luxury 💕 xo's Tati    😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com   *▸ VIDEO MENTIONED:* TODDLER PICKS MY MAKEUP https://youtu.be/NyPYsuP5nUY   MAKEUP ON A BUDGET ... (Nothing over $10) - JOAH https://youtu.be/I4e1YalDryo?si=M_CDRd5yVCYEDQFa   FULL FACE OF DUPES | Drugstore vs Luxury https://youtu.be/pqDnJ-XZehM?si=7WUVAC6yg6gQdju7    *▸ WHAT'S ON MY NAILS?*  _Nails:_   *▸ WHAT'S MY JEWELRY?*  _Earrings:_   *▸ WHAT I’M WEARING*  Zara Striped Shirt With Metallic Thread $49.90 https://www.zara.com/us/en/striped-shirt-with-metallic-thread-p07978779.html?v1=272208287   *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  Makeup Revolution IRL Filter Finish Concealer $7 JOAH Wand Me Up Perfecting Concealer $6.99 JOAH Perfect Complexion Eye Serum Concealer $11.99 e.l.f. 16HR Camo Concealer $7 NYX Can’t Stop Won’t Stop Concealer $9.50 Maybelline Instant Age Rewind Eraser $10.99 Catrice True Skin High Cover Concealer $7 Maybelline Fit Me Concealer $7.49 Dermacol Make-Up Cover Foundation $15.19 Catrice Ultimate Camouflage Cream $6 Milk Makeup Future Fluid All Over Cream Concealer $29 Lancome Teint Idôle Ultra Wear All Over Concealer $29 Armani Power Fabric + Longwear Matte Concealer $40 Haleys Re-Wind Blurring Full Coverage Concealer $22 Saie Hydrabeam Brightening + Hydrating Creamy Under Eye Concealer $26 Kosas Revealer Super Creamy + Brightening Concealer $30 PUR 4-in-1 Sculpting Concealer $22 LYS Triple Fix Brightening Concealer $19 Hourglass Vanish™ Airbrush Concealer $36 Dior Backstage Concealer $32 Hourglass Veil Retouching Fluid $36 Tarte Shape Tape Concealer $31 Make Up For Ever HD Skin Under Eye Concealer $29 RCMA Makeup Liquid Concealer $29 Natasha Denona Hy-Glam Concealer $30 Givenchy Prisme Libre Skin-Caring 24H Concealer $37 Lawless Conseal the Deal Lightweight Concealer $26 Make Beauty Skin Mimetic Concealer $28 Danessa Myricks Vision Cream Cover Adjustable Foundation & Concealer $18   *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,5,youtube#video,CRvOypuIOkI,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-28,218790
7,youtube#playlistItem,uISJfvOj84w87Zm9q696eITsVMM,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLkxjMXRkY01RSXM0,2023-08-24T17:00:20Z,UC4qk9TtGhBKCkoWz5qGJcGg,Hot NEW MAKEUP LAUNCHES Tested ...,"I had so much new makeup to test and found solid gold, I hope you enjoy. 💕 xo's Tati    😇  BEST HAIR & SKIN EVER! 🥝  HaloBeauty.com   *▸ VIDEO MENTIONED:*  My 4yr Old Niece ... DOES MY MAKEUP!  https://www.youtube.com/watch?v=xca4PMyx0mg&t=1s (17:27)  *▸ WHAT'S ON MY NAILS?*  Nails: What’s Up Nails // Vanilla Peach & Fairy Well    *▸ WHAT'S MY JEWELRY?*  _Earrings:_ Kendra Scott   *▸ PRODUCTS MENTIONED / MAKEUP WORN:*   Lancôme Priming Serum 24 Hour Hydrating Solid Smoothing Primer $46 Naturium Vitamin Bright Illuminating Eye Cream $18 Bobbi Brown Vitamin Enriched Skin Tint / Medium 2 $46 MAKE UP FOR EVER HD Skin Smooth & Blur Undetectable Under Eye Concealer / 2.2N $29 Essence Brighten Up! Banana Powder $4.99 Florasis Fairy Peach Blossom Ultra-Light Setting Powder $36 Nudestix Nudies Matte + Glow Core All Over Face Plumping Peptide Blush / Peach Pearl $25  RCMA Beach Day Cream to Powder Bronzer / Catalina $24 Bobbi Brown Vitamin Enriched Pressed Powder / Neutral $48 Charlotte Tilbury Disney100 Edition Beauty Light Wand $42 Natasha Denona I Need A Nude Lip Liner / Emily $24 RMS Beauty ReDimension Hydra Powder Blush / Kir Royale $35 MAKE Beauty Infinite Hold Sculpting Brow Gel $25 Florasis Floral Engraving Phoenix Makeup Palette / Soaring Sunlight $59 Huda Beauty GloWish Micro Mini Natural Eyeshadow Palette / Amethyst $21  Lancôme Cils Booster XL Super-Enhancing Mascara Primer $30 Lancôme Lash Idôle Lash-Lifting & Volumizing Mascara $30 Huda Beauty GloWish Super Jelly Lip Balm $21 Babe Original Plumping Lip Jelly / Blush $15    *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,6,youtube#video,Lc1tdcMQIs4,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-24,215345
8,youtube#playlistItem,wQZiJ2_g-j_TxKs_VoT-qrp0Heo,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLnhjYTRQTXl4MG1n,2023-08-21T16:58:05Z,UC4qk9TtGhBKCkoWz5qGJcGg,My 4yr Old Niece ... DOES MY MAKEUP!,"My Niece Emily gave me an extreme makeover ... I'm now ready for the Ball!  Hope you enjoy this cute video, please subscribe and ring the bell for notifications. 💕 xo's Tati    😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com   *▸ VIDEO MENTIONED:* TODDLER PICKS MY MAKEUP https://youtu.be/NyPYsuP5nUY   *▸ WHAT'S ON MY NAILS?*  _Nails:_ MORGAN TAYLOR LACQUER // TARTAN THE INTERRUPTION  *▸ WHAT I’M WEARING*  _Dress:_  ALTAR'D STATE  *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  La Mer The Soft Fluid Long Wear Foundation $145 Natasha Denona Hy-Glam Serum Concealer $30 Winky Lux Cheeky Rose $20 Makeup By Mario Soft Pop Plumping Blush Veil $30 Makeup By Mario SoftSculpt Transforming Skin Enhancer $30 Urban Decay Heavy Metal Glitter Eyeliner $25 // Midnight Cowboy, Disco Daydream Danessa Myricks Twin Flames Liquid Eyeshadow $26 // Olivine, Mystic Fire Grande Cosmetics GrandeBROW 2-In-1 Tinted Brow Gel + Brow Enhancing Serum $38 Charlotte Tilbury Matte Revolution Lipstick $35 Natasha Denona I Need A Nude Lip Liner $24 GXVE Pick It Up Cream Contour & Talc-Free Powder Bronzer Duo $28 Givenchy Prisme Libre Loose Setting and Finishing Powder $59 Stila Pressed Eyeshadow Compact $20 // Kitten Essence Soft Touch Eyeshadow $1.99 Danessa Myricks Linework Paintbrush Fluid Liquid Eyeliner $18 Danessa Myricks Colorfix Multi-Use Pigment $20 // Wild Orchid  GXVE Eye See In Sparkle Clean Multi-Dimensional Glitter Eyeshadow $24 Valentino Rosso Valentino Refillable Lipstick $45 Tarte Shape Tape™ Stay Spray Setting Spray $30    *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,7,youtube#video,xca4PMyx0mg,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-21,196015
9,youtube#playlistItem,VWsNK8r9ZrVAPxsDAORtQFWbqGM,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLmNYRU8wbHBFR01j,2023-08-17T16:58:05Z,UC4qk9TtGhBKCkoWz5qGJcGg,Products I Can’t Live Without & Fails I'll Never Buy Again ...,"Products I Can’t Live Without & Fails I'll Never Buy Again ...  💕 xo's Tati    😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com   *▸ VIDEO MENTIONED:*  Drugstore Makeup DUPES ... Save your Cash!!! https://www.youtube.com/watch?v=JOGQVtGkz7k&t=1249s (3:09)  NEW at SEPHORA ... is it worth it??? https://www.youtube.com/watch?v=DaL_JZ0GCrE   *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,8,youtube#video,cXEO0lpEGMc,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-17,217516
10,youtube#playlistItem,XikhNaRGgWyndIUsTa_bcxRQXHk,VVU0cWs5VHRHaEJLQ2tvV3o1cUdKY0dnLlhKeENOUlRhbDlF,2023-08-14T16:59:48Z,UC4qk9TtGhBKCkoWz5qGJcGg,World's Most OVERHYPED Foundation?,"Truly Shocked by this Foundation, soooo Hyped and I finally caved.  Here's your full day wear test. 💕 xo's Tati    😇  BEST HAIR & SKIN EVER! 🥝  https://www.HaloBeauty.com   *▸ VIDEO MENTIONED:* Best Foundation of 2023… I am Shocked https://youtu.be/I86-lBNJu7A    *▸ WHAT'S ON MY NAILS?* _Nails:_  OPI // Every Month is Octoberfest  *▸ WHAT I’M WEARING*  _Top:_ GAP   *▸ PRODUCTS MENTIONED / MAKEUP WORN:*  RMS ReEvolve Radiance Locking Primer $42 Tarte Timeless Smoothing Primer $39 Haus Labs Triclone Skin Tech Medium Coverage Foundation $45 // 280 Light Medium Neutral Natasha Denona Hy-Glam Serum Concealer $30 Charlotte Tilbury Airbrush Flawless Finish Setting Powder $48 GXVE Pick It Up Cream Contour & Talc-Free Powder Bronzer Duo $28 Dior Diorshow Brow Styler Eyebrow Pencil $34 Flower Beauty Petal Play Shadow Quad $9.09 // In Bloom Essence Stay & Play Gel Eyeliner $4.99 // Espresso Honeybee Gardens Irresistable Lip Liner $9.99 // Perfection Catrice Cheek Flirt Face Stick $6 Charlotte Tilbury Lipstick $35 // B*itch Perfect Stila Plumping Lip Glaze $24 Huda Beauty 1 Coat WOW! Extra Volumizing and Lifting Mascara $23 Haus Labs Color Fuse Powder Blush $38 Haus Labs Bio-Radiant Gel-Powder Highlighter $40 Grande Drama Intense Thickening Mascara $25   *▸ LET’S CONNECT* _Instagram_  glamlifeguru _TikTok_  TatiWestbrook _Snapchat_  TatiWestbrook _Twitter_  glamlifeguru  _Email_  Tati@GlamLifeGuru.com   *▸﻿ New PR Mailing Address* TATI, Inc. 2300 W. 7th St Suite 108, Box 211 Fort Worth, TX  76107   FTC DISCLAIMER:  This video is Not Sponsored and there are no affiliate links.  All Rights Reserved © 2023, Tati Westbrook             Hi I'm Tati Westbrook, thank you for watching, please be sure to check out my collection of new makeup review videos where you'll find my best beauty tips, tricks and favorites on everything from top luxury cosmetics to my favorite drugstore makeup. Whether you're looking for a new product review, tutorials, beauty tips, haul or perhaps even a giveaway, I hope you enjoy watching.",Tati,UU4qk9TtGhBKCkoWz5qGJcGg,9,youtube#video,XJxCNRTal9E,Tati,UC4qk9TtGhBKCkoWz5qGJcGg,2023-08-14,238104
